open_covid_region_code,country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
CI-MG,CI,Côte d'Ivoire,Montagnes District,,,CI-MG,,2020-05-22,,,,,4,
CI-MG,CI,Côte d'Ivoire,Montagnes District,,,CI-MG,,2020-05-23,,,,,-24,
CI-MG,CI,Côte d'Ivoire,Montagnes District,,,CI-MG,,2020-05-24,,,,,4,
CI-MG,CI,Côte d'Ivoire,Montagnes District,,,CI-MG,,2020-05-25,,,,,0,
CI-MG,CI,Côte d'Ivoire,Montagnes District,,,CI-MG,,2020-05-26,,,,,4,
CI-MG,CI,Côte d'Ivoire,Montagnes District,,,CI-MG,,2020-05-27,,,,,6,
CI-MG,CI,Côte d'Ivoire,Montagnes District,,,CI-MG,,2020-05-28,,,,,7,
CI-MG,CI,Côte d'Ivoire,Montagnes District,,,CI-MG,,2020-05-29,,,,,7,
CI-MG,CI,Côte d'Ivoire,Montagnes District,,,CI-MG,,2020-05-30,,,,,10,
CI-MG,CI,Côte d'Ivoire,Montagnes District,,,CI-MG,,2020-05-31,,,,,12,
CI-MG,CI,Côte d'Ivoire,Montagnes District,,,CI-MG,,2020-06-01,,,,,-12,
CI-MG,CI,Côte d'Ivoire,Montagnes District,,,CI-MG,,2020-06-02,,,,,10,
CI-MG,CI,Côte d'Ivoire,Montagnes District,,,CI-MG,,2020-06-03,,,,,5,
CI-MG,CI,Côte d'Ivoire,Montagnes District,,,CI-MG,,2020-06-04,,,,,7,
CI-MG,CI,Côte d'Ivoire,Montagnes District,,,CI-MG,,2020-06-05,,,,,8,
CI-MG,CI,Côte d'Ivoire,Montagnes District,,,CI-MG,,2020-06-06,,,,,7,
CI-MG,CI,Côte d'Ivoire,Montagnes District,,,CI-MG,,2020-06-07,,,,,19,
CI-MG,CI,Côte d'Ivoire,Montagnes District,,,CI-MG,,2020-06-08,,,,,6,
CI-MG,CI,Côte d'Ivoire,Montagnes District,,,CI-MG,,2020-06-09,,,,,7,
CI-MG,CI,Côte d'Ivoire,Montagnes District,,,CI-MG,,2020-06-10,,,,,3,
CI-MG,CI,Côte d'Ivoire,Montagnes District,,,CI-MG,,2020-06-11,,,,,10,
CI-MG,CI,Côte d'Ivoire,Montagnes District,,,CI-MG,,2020-06-12,,,,,16,
CI-MG,CI,Côte d'Ivoire,Montagnes District,,,CI-MG,,2020-06-13,,,,,12,
CI-MG,CI,Côte d'Ivoire,Montagnes District,,,CI-MG,,2020-06-14,,,,,19,
CI-MG,CI,Côte d'Ivoire,Montagnes District,,,CI-MG,,2020-06-15,,,,,7,
CI-MG,CI,Côte d'Ivoire,Montagnes District,,,CI-MG,,2020-06-16,,,,,11,
CI-MG,CI,Côte d'Ivoire,Montagnes District,,,CI-MG,,2020-06-17,,,,,7,
CI-MG,CI,Côte d'Ivoire,Montagnes District,,,CI-MG,,2020-06-18,,,,,6,
CI-MG,CI,Côte d'Ivoire,Montagnes District,,,CI-MG,,2020-06-19,,,,,10,
CI-MG,CI,Côte d'Ivoire,Montagnes District,,,CI-MG,,2020-06-20,,,,,-1,
CI-MG,CI,Côte d'Ivoire,Montagnes District,,,CI-MG,,2020-06-21,,,,,13,
CI-MG,CI,Côte d'Ivoire,Montagnes District,,,CI-MG,,2020-06-22,,,,,6,
CI-MG,CI,Côte d'Ivoire,Montagnes District,,,CI-MG,,2020-06-23,,,,,4,
CI-MG,CI,Côte d'Ivoire,Montagnes District,,,CI-MG,,2020-06-24,,,,,2,
CI-MG,CI,Côte d'Ivoire,Montagnes District,,,CI-MG,,2020-06-25,,,,,1,
CI-MG,CI,Côte d'Ivoire,Montagnes District,,,CI-MG,,2020-06-26,,,,,-5,
CI-MG,CI,Côte d'Ivoire,Montagnes District,,,CI-MG,,2020-06-27,,,,,8,
CI-MG,CI,Côte d'Ivoire,Montagnes District,,,CI-MG,,2020-06-28,,,,,11,
CI-MG,CI,Côte d'Ivoire,Montagnes District,,,CI-MG,,2020-06-29,,,,,-2,
CI-MG,CI,Côte d'Ivoire,Montagnes District,,,CI-MG,,2020-06-30,,,,,7,
CI-MG,CI,Côte d'Ivoire,Montagnes District,,,CI-MG,,2020-07-01,,,,,4,
CI-MG,CI,Côte d'Ivoire,Montagnes District,,,CI-MG,,2020-07-02,,,,,3,
CI-MG,CI,Côte d'Ivoire,Montagnes District,,,CI-MG,,2020-07-03,,,,,3,
CI-MG,CI,Côte d'Ivoire,Montagnes District,,,CI-MG,,2020-07-04,,,,,10,
CI-MG,CI,Côte d'Ivoire,Montagnes District,,,CI-MG,,2020-07-05,,,,,10,
CI-MG,CI,Côte d'Ivoire,Montagnes District,,,CI-MG,,2020-07-06,,,,,1,
CI-MG,CI,Côte d'Ivoire,Montagnes District,,,CI-MG,,2020-07-07,,,,,7,
CI-MG,CI,Côte d'Ivoire,Montagnes District,,,CI-MG,,2020-07-08,,,,,5,
CI-MG,CI,Côte d'Ivoire,Montagnes District,,,CI-MG,,2020-07-09,,,,,0,
CI-MG,CI,Côte d'Ivoire,Montagnes District,,,CI-MG,,2020-07-10,,,,,0,
CI-MG,CI,Côte d'Ivoire,Montagnes District,,,CI-MG,,2020-07-11,,,,,14,
CI-MG,CI,Côte d'Ivoire,Montagnes District,,,CI-MG,,2020-07-12,,,,,10,
CI-MG,CI,Côte d'Ivoire,Montagnes District,,,CI-MG,,2020-07-13,,,,,2,
CI-MG,CI,Côte d'Ivoire,Montagnes District,,,CI-MG,,2020-07-14,,,,,0,
CI-MG,CI,Côte d'Ivoire,Montagnes District,,,CI-MG,,2020-07-15,,,,,5,
CI-MG,CI,Côte d'Ivoire,Montagnes District,,,CI-MG,,2020-07-16,,,,,0,
CI-MG,CI,Côte d'Ivoire,Montagnes District,,,CI-MG,,2020-07-17,,,,,8,
CI-MG,CI,Côte d'Ivoire,Montagnes District,,,CI-MG,,2020-07-18,,,,,8,
CI-MG,CI,Côte d'Ivoire,Montagnes District,,,CI-MG,,2020-07-19,,,,,16,
CI-MG,CI,Côte d'Ivoire,Montagnes District,,,CI-MG,,2020-07-20,,,,,2,
CI-MG,CI,Côte d'Ivoire,Montagnes District,,,CI-MG,,2020-07-21,,,,,4,
CI-MG,CI,Côte d'Ivoire,Montagnes District,,,CI-MG,,2020-07-22,,,,,1,
CI-MG,CI,Côte d'Ivoire,Montagnes District,,,CI-MG,,2020-07-23,,,,,2,
CI-MG,CI,Côte d'Ivoire,Montagnes District,,,CI-MG,,2020-07-24,,,,,4,
CI-MG,CI,Côte d'Ivoire,Montagnes District,,,CI-MG,,2020-07-25,,,,,10,
CI-MG,CI,Côte d'Ivoire,Montagnes District,,,CI-MG,,2020-07-26,,,,,19,
CI-MG,CI,Côte d'Ivoire,Montagnes District,,,CI-MG,,2020-07-27,,,,,-1,
CI-MG,CI,Côte d'Ivoire,Montagnes District,,,CI-MG,,2020-07-28,,,,,3,
CI-MG,CI,Côte d'Ivoire,Montagnes District,,,CI-MG,,2020-07-29,,,,,-5,
CI-MG,CI,Côte d'Ivoire,Montagnes District,,,CI-MG,,2020-07-30,,,,,-13,
CI-MG,CI,Côte d'Ivoire,Montagnes District,,,CI-MG,,2020-07-31,,,,,-45,
CI-MG,CI,Côte d'Ivoire,Montagnes District,,,CI-MG,,2020-08-01,,,,,-26,
CI-MG,CI,Côte d'Ivoire,Montagnes District,,,CI-MG,,2020-08-02,,,,,1,
CI-MG,CI,Côte d'Ivoire,Montagnes District,,,CI-MG,,2020-08-03,,,,,-7,
CI-MG,CI,Côte d'Ivoire,Montagnes District,,,CI-MG,,2020-08-04,,,,,-1,
CI-MG,CI,Côte d'Ivoire,Montagnes District,,,CI-MG,,2020-08-05,,,,,-5,
CI-MG,CI,Côte d'Ivoire,Montagnes District,,,CI-MG,,2020-08-06,,,,,-5,
CI-MG,CI,Côte d'Ivoire,Montagnes District,,,CI-MG,,2020-08-07,,,,,-22,
CI-MG,CI,Côte d'Ivoire,Montagnes District,,,CI-MG,,2020-08-08,,,,,-2,
CI-MG,CI,Côte d'Ivoire,Montagnes District,,,CI-MG,,2020-08-09,,,,,4,
CI-MG,CI,Côte d'Ivoire,Montagnes District,,,CI-MG,,2020-08-10,,,,,-4,
CI-MG,CI,Côte d'Ivoire,Montagnes District,,,CI-MG,,2020-08-11,,,,,-5,
CI-MG,CI,Côte d'Ivoire,Montagnes District,,,CI-MG,,2020-08-12,,,,,-5,
CI-MG,CI,Côte d'Ivoire,Montagnes District,,,CI-MG,,2020-08-13,,,,,-8,
CI-MG,CI,Côte d'Ivoire,Montagnes District,,,CI-MG,,2020-08-14,,,,,-5,
CI-MG,CI,Côte d'Ivoire,Montagnes District,,,CI-MG,,2020-08-15,,,,,-6,
CI-MG,CI,Côte d'Ivoire,Montagnes District,,,CI-MG,,2020-08-16,,,,,3,
CI-MG,CI,Côte d'Ivoire,Montagnes District,,,CI-MG,,2020-08-17,,,,,-7,
CI-MG,CI,Côte d'Ivoire,Montagnes District,,,CI-MG,,2020-08-18,,,,,-3,
CI-MG,CI,Côte d'Ivoire,Montagnes District,,,CI-MG,,2020-08-19,,,,,-6,
CI-MG,CI,Côte d'Ivoire,Montagnes District,,,CI-MG,,2020-08-20,,,,,-9,
CI-MG,CI,Côte d'Ivoire,Montagnes District,,,CI-MG,,2020-08-21,,,,,-5,
CI-MG,CI,Côte d'Ivoire,Montagnes District,,,CI-MG,,2020-08-22,,,,,-5,
CI-MG,CI,Côte d'Ivoire,Montagnes District,,,CI-MG,,2020-08-23,,,,,1,
CI-MG,CI,Côte d'Ivoire,Montagnes District,,,CI-MG,,2020-08-24,,,,,-8,
CI-MG,CI,Côte d'Ivoire,Montagnes District,,,CI-MG,,2020-08-25,,,,,-10,
CI-MG,CI,Côte d'Ivoire,Montagnes District,,,CI-MG,,2020-08-26,,,,,-8,
CI-MG,CI,Côte d'Ivoire,Montagnes District,,,CI-MG,,2020-08-27,,,,,-10,
CI-MG,CI,Côte d'Ivoire,Montagnes District,,,CI-MG,,2020-08-28,,,,,-11,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-02-15,,1.0,,,1,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-02-16,,7.0,,,3,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-02-17,,4.0,,,-8,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-02-18,,3.0,,,-7,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-02-19,,-2.0,,,-6,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-02-20,,2.0,,,-9,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-02-21,,-2.0,,,-10,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-02-22,,-7.0,,,2,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-02-23,,1.0,,,-4,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-02-24,,-4.0,,,4,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-02-25,,-1.0,,,7,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-02-26,,-1.0,,,3,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-02-27,,6.0,,,5,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-02-28,,3.0,,,1,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-02-29,,5.0,,,7,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-03-01,,11.0,,,5,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-03-02,,5.0,,,5,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-03-03,,7.0,,,4,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-03-04,,5.0,,,4,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-03-05,,9.0,,,7,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-03-06,,4.0,,,-1,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-03-07,,-9.0,,,-8,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-03-08,,9.0,,,5,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-03-09,,2.0,,,5,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-03-10,,5.0,,,7,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-03-11,,4.0,,,2,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-03-12,,3.0,,,-1,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-03-13,,3.0,,,-3,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-03-14,,0.0,,,3,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-03-15,,6.0,,,-4,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-03-16,,4.0,,,2,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-03-17,,13.0,,,-1,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-03-18,,8.0,,,-5,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-03-19,,11.0,,,-5,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-03-20,,2.0,,,-5,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-03-21,,-7.0,,,-2,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-03-22,,-5.0,,,-2,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-03-23,,3.0,,,-6,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-03-24,,2.0,,,-7,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-03-25,,-5.0,,,-9,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-03-26,,-2.0,,,-10,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-03-27,,1.0,,,-7,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-03-28,,-5.0,,,2,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-03-29,,-11.0,,,-1,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-03-30,,0.0,,,-8,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-03-31,,1.0,,,-7,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-04-01,,-11.0,,,-1,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-04-02,,1.0,,,-4,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-04-03,,-5.0,,,-7,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-04-04,,-8.0,,,5,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-04-05,,-11.0,,,3,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-04-06,,-6.0,,,-9,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-04-07,,-1.0,,,-9,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-04-08,,-11.0,,,-9,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-04-09,,-9.0,,,-10,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-04-10,,-14.0,,,-7,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-04-11,,-12.0,,,2,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-04-12,,-13.0,,,-2,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-04-13,,-19.0,,,-30,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-04-14,,-6.0,,,-8,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-04-15,,-10.0,,,-11,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-04-16,,-7.0,,,-6,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-04-17,,-9.0,,,-8,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-04-18,,-11.0,,,1,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-04-19,,-9.0,,,10,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-04-20,,-3.0,,,-6,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-04-21,,-3.0,,,-3,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-04-22,,-15.0,,,-6,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-04-23,,-6.0,,,-6,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-04-24,,-10.0,,,-4,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-04-25,,-19.0,,,2,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-04-26,,-22.0,,,-2,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-04-27,,-7.0,,,-7,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-04-28,,-4.0,,,-7,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-04-29,,-10.0,,,-4,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-04-30,,-3.0,,,1,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-05-01,,-16.0,,,-23,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-05-02,,-17.0,,,5,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-05-03,,-15.0,,,11,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-05-04,,-7.0,,,-9,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-05-05,,-3.0,,,-5,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-05-06,,0.0,,,-3,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-05-07,,-1.0,,,0,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-05-08,,-4.0,,,0,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-05-09,,-11.0,,,10,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-05-10,,-8.0,,,19,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-05-11,,4.0,,,-3,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-05-12,,8.0,,,4,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-05-13,,-4.0,,,3,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-05-14,,-1.0,,,5,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-05-15,,0.0,,,5,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-05-16,,-3.0,,,13,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-05-17,,-16.0,,,14,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-05-18,,0.0,,,6,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-05-19,,-1.0,,,3,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-05-20,,-10.0,,,-15,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-05-21,,-7.0,,,-20,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-05-22,,3.0,,,1,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-05-23,,-16.0,,,-17,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-05-24,,-3.0,,,6,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-05-25,,11.0,,,1,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-05-26,,8.0,,,5,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-05-27,,7.0,,,9,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-05-28,,11.0,,,10,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-05-29,,10.0,,,10,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-05-30,,5.0,,,14,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-05-31,,10.0,,,15,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-06-01,,8.0,,,-15,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-06-02,,13.0,,,12,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-06-03,,12.0,,,12,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-06-04,,12.0,,,7,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-06-05,,12.0,,,10,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-06-06,,9.0,,,16,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-06-07,,9.0,,,21,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-06-08,,11.0,,,6,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-06-09,,9.0,,,6,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-06-10,,3.0,,,8,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-06-11,,2.0,,,7,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-06-12,,8.0,,,10,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-06-13,,-1.0,,,13,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-06-14,,-3.0,,,14,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-06-15,,10.0,,,10,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-06-16,,12.0,,,14,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-06-17,,1.0,,,10,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-06-18,,5.0,,,6,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-06-19,,0.0,,,8,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-06-20,,-1.0,,,12,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-06-21,,-4.0,,,14,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-06-22,,4.0,,,4,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-06-23,,9.0,,,3,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-06-24,,1.0,,,5,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-06-25,,7.0,,,2,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-06-26,,2.0,,,1,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-06-27,,5.0,,,6,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-06-28,,0.0,,,4,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-06-29,,12.0,,,5,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-06-30,,20.0,,,8,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-07-01,,16.0,,,8,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-07-02,,17.0,,,7,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-07-03,,20.0,,,6,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-07-04,,14.0,,,13,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-07-05,,9.0,,,10,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-07-06,,23.0,,,5,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-07-07,,29.0,,,8,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-07-08,,15.0,,,6,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-07-09,,22.0,,,4,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-07-10,,13.0,,,2,
CI-SM,CI,Côte d'Ivoire,Sassandra-Marahoué District,,,CI-SM,,2020-07-11,,12.0,,,7,
